State,Map Region,District,Suburb Name,Postcode
ACT,Canberra,Belconnen,Aranda,2614
ACT,Canberra,Belconnen,Belconnen,2617
ACT,Canberra,Belconnen,Belconnen Town Centre,2617
ACT,Canberra,Belconnen,Bruce,2617
ACT,Canberra,Belconnen,Charnwood,2615
ACT,Canberra,Belconnen,Cook,2614
ACT,Canberra,Belconnen,Dunlop,2615
ACT,Canberra,Belconnen,Emu Ridge,2617
ACT,Canberra,Belconnen,Evatt,2617
ACT,Canberra,Belconnen,Florey,2615
ACT,Canberra,Belconnen,Flynn,2615
ACT,Canberra,Belconnen,Fraser,2615
ACT,Canberra,Belconnen,Giralang,2617
ACT,Canberra,Belconnen,Hawker,2614
ACT,Canberra,Belconnen,Higgins,2615
ACT,Canberra,Belconnen,Holt,2615
ACT,Canberra,Belconnen,Kaleen,2617
ACT,Canberra,Belconnen,Latham,2615
ACT,Canberra,Belconnen,Lawson,2617
ACT,Canberra,Belconnen,Macgregor,2615
ACT,Canberra,Belconnen,Macquarie,2614
ACT,Canberra,Belconnen,Mckellar,2617
ACT,Canberra,Belconnen,Melba,2615
ACT,Canberra,Belconnen,Page,2614
ACT,Canberra,Belconnen,Scullin,2614
ACT,Canberra,Belconnen,South Bruce,2617
ACT,Canberra,Belconnen,Spence,2615
ACT,Canberra,Belconnen,Weetangera,2614
ACT,Canberra,Coree,Uriarra Village,2611
ACT,Canberra,Gungahlin,Amaroo,2914
ACT,Canberra,Gungahlin,Bonner,2914
ACT,Canberra,Gungahlin,Broadview,2913
ACT,Canberra,Gungahlin,Casey,2913
ACT,Canberra,Gungahlin,Crace,2911
ACT,Canberra,Gungahlin,Forde,2914
ACT,Canberra,Gungahlin,Franklin,2913
ACT,Canberra,Gungahlin,Ginninderra Village,2913
ACT,Canberra,Gungahlin,Gungahlin,2912
ACT,Canberra,Gungahlin,Gungahlin District,2912
ACT,Canberra,Gungahlin,Hall,2618
ACT,Canberra,Gungahlin,Harcourt Hill,2913
ACT,Canberra,Gungahlin,Harrison,2914
ACT,Canberra,Gungahlin,Jacka,2914
ACT,Canberra,Gungahlin,Mitchell,2911
ACT,Canberra,Gungahlin,Moncrieff,2914
ACT,Canberra,Gungahlin,Ngunnawal,2913
ACT,Canberra,Gungahlin,Nicholls,2913
ACT,Canberra,Gungahlin,Palmerston,2913
ACT,Canberra,Gungahlin,Springbank Rise,2913
ACT,Canberra,Gungahlin,Yerrabi,2912
ACT,Canberra,Molonglo Valley,Coombs,2611
ACT,Canberra,Molonglo Valley,Denman Prospect,2611
ACT,Canberra,Molonglo Valley,Molonglo,2611
ACT,Canberra,Molonglo Valley,Molonglo Valley,2611
ACT,Canberra,Molonglo Valley,Wright,2611
ACT,Canberra,North Canberra,Acton,2601
ACT,Canberra,North Canberra,Ainslie,2602
ACT,Canberra,North Canberra,Airport,2609
ACT,Canberra,North Canberra,Anu,2601
ACT,Canberra,North Canberra,Braddon,2612
ACT,Canberra,North Canberra,Campbell,2612
ACT,Canberra,North Canberra,Canberra,2601
ACT,Canberra,North Canberra,City,2601
ACT,Canberra,North Canberra,Civic Square,2601
ACT,Canberra,North Canberra,Dickson,2602
ACT,Canberra,North Canberra,Downer,2602
ACT,Canberra,North Canberra,Duntroon,2612
ACT,Canberra,North Canberra,Hackett,2602
ACT,Canberra,North Canberra,Inner North,2601
ACT,Canberra,North Canberra,Kowen,2620
ACT,Canberra,North Canberra,Kowen Forest,2620
ACT,Canberra,North Canberra,Lyneham,2602
ACT,Canberra,North Canberra,Majura,2609
ACT,Canberra,North Canberra,NewActon,2601
ACT,Canberra,North Canberra,North Lyneham,2602
ACT,Canberra,North Canberra,Northside,2612
ACT,Canberra,North Canberra,O'Connor,2602
ACT,Canberra,North Canberra,Reid,2612
ACT,Canberra,North Canberra,Russell,2600
ACT,Canberra,North Canberra,Turner,2612
ACT,Canberra,North Canberra,Watson,2602
ACT,Canberra,North Canberra,Williamsdale,2620
ACT,Canberra,South Canberra,Barton,2600
ACT,Canberra,South Canberra,Beard,2620
ACT,Canberra,South Canberra,Capital Hill,2600
ACT,Canberra,South Canberra,Deakin,2600
ACT,Canberra,South Canberra,Deakin West,2600
ACT,Canberra,South Canberra,Fairbairn,
ACT,Canberra,South Canberra,Forrest,2603
ACT,Canberra,South Canberra,Fyshwick,2609
ACT,Canberra,South Canberra,Griffith,2603
ACT,Canberra,South Canberra,Harman,2600
ACT,Canberra,South Canberra,Hmas Harman,2600
ACT,Canberra,South Canberra,Kingston,2604
ACT,Canberra,South Canberra,Manuka,2603
ACT,Canberra,South Canberra,Narrabundah,2604
ACT,Canberra,South Canberra,Oaks Estate,2620
ACT,Canberra,South Canberra,Parkes,2600
ACT,Canberra,South Canberra,Pialligo,2609
ACT,Canberra,South Canberra,Red Hill,2603
ACT,Canberra,South Canberra,Symonston,2609
ACT,Canberra,South Canberra,Yarralumla,2600
ACT,Canberra,Tuggeranong,Banks,2906
ACT,Canberra,Tuggeranong,Bonython,2905
ACT,Canberra,Tuggeranong,Booth,
ACT,Canberra,Tuggeranong,Calwell,2905
ACT,Canberra,Tuggeranong,Chisholm,2905
ACT,Canberra,Tuggeranong,Conder,2906
ACT,Canberra,Tuggeranong,Conder Ridge,2906
ACT,Canberra,Tuggeranong,Eastern Valley Rise,2906
ACT,Canberra,Tuggeranong,Fadden,2904
ACT,Canberra,Tuggeranong,Fadden Hills,2904
ACT,Canberra,Tuggeranong,Gilmore,2905
ACT,Canberra,Tuggeranong,Gleneagles,2902
ACT,Canberra,Tuggeranong,Gordon,2906
ACT,Canberra,Tuggeranong,Gowrie,2904
ACT,Canberra,Tuggeranong,Greenway,2900
ACT,Canberra,Tuggeranong,Hume,2620
ACT,Canberra,Tuggeranong,Isabella Plains,2905
ACT,Canberra,Tuggeranong,Kambah,2902
ACT,Canberra,Tuggeranong,Macarthur,2904
ACT,Canberra,Tuggeranong,Melrose Valley,2905
ACT,Canberra,Tuggeranong,Monash,2904
ACT,Canberra,Tuggeranong,Monash Ridge,2904
ACT,Canberra,Tuggeranong,Mount Clear,2620
ACT,Canberra,Tuggeranong,Oxley,2903
ACT,Canberra,Tuggeranong,Paddys River,2620
ACT,Canberra,Tuggeranong,Richardson,2905
ACT,Canberra,Tuggeranong,Royalla,2900
ACT,Canberra,Tuggeranong,Tennent,
ACT,Canberra,Tuggeranong,Tharwa,2620
ACT,Canberra,Tuggeranong,Theodore,2905
ACT,Canberra,Tuggeranong,Tuggeranong,2900
ACT,Canberra,Tuggeranong,Wanniassa,2903
ACT,Canberra,Tuggeranong,Wanniassa Hills,2903
ACT,Canberra,Tuggeranong,Woden Valley,2606
ACT,Canberra,Weston Creek,Chapman,2611
ACT,Canberra,Weston Creek,Coree,2611
ACT,Canberra,Weston Creek,Corin Dam,2620
ACT,Canberra,Weston Creek,Cotter Dam,2620
ACT,Canberra,Weston Creek,Cotter River,2620
ACT,Canberra,Weston Creek,Duffy,2611
ACT,Canberra,Weston Creek,Fisher,2611
ACT,Canberra,Weston Creek,Holder,2611
ACT,Canberra,Weston Creek,McCubbin Rise,2611
ACT,Canberra,Weston Creek,Mount Stromlo,2611
ACT,Canberra,Weston Creek,Pierces Creek,2611
ACT,Canberra,Weston Creek,Rivett,2611
ACT,Canberra,Weston Creek,Stirling,2611
ACT,Canberra,Weston Creek,Stromlo,2611
ACT,Canberra,Weston Creek,Stromlo District,2611
ACT,Canberra,Weston Creek,Uriarra,2611
ACT,Canberra,Weston Creek,Uriarra,2611
ACT,Canberra,Weston Creek,Waramanga,2611
ACT,Canberra,Weston Creek,Weston,2611
ACT,Canberra,Weston Creek,Weston Creek,2611
ACT,Canberra,Woden Valley,Chifley,2606
ACT,Canberra,Woden Valley,Curtin,2605
ACT,Canberra,Woden Valley,Farrer,2607
ACT,Canberra,Woden Valley,Garran,2605
ACT,Canberra,Woden Valley,Hughes,2605
ACT,Canberra,Woden Valley,Isaacs,2607
ACT,Canberra,Woden Valley,Lyons,2606
ACT,Canberra,Woden Valley,Mawson,2607
ACT,Canberra,Woden Valley,O'Malley,2606
ACT,Canberra,Woden Valley,Pearce,2607
ACT,Canberra,Woden Valley,Phillip,2606
ACT,Canberra,Woden Valley,Southside,2606
ACT,Canberra,Woden Valley,Swinger Hill,2606
ACT,Canberra,Woden Valley,Torrens,2607
ACT,Canberra,Woden Valley,Woden,2606
ACT,Other Territories,Other Territories,Canberra Central,
ACT,Other Territories,Other Territories,Jerrabomberra,
ACT,Other Territories,Other Territories,Melrose Valley,
ACT,Other Territories,Other Territories,Mt. Clear,
ACT,Other Territories,Other Territories,Rendezvous Creek,
ACT,Other Territories,Other Territories,Wreck Bay,2540
NSW,Albury - Wodonga Region,Albury,Albury,2640
NSW,Albury - Wodonga Region,Albury,East Albury,2640
NSW,Albury - Wodonga Region,Albury,Ettamogah,2640
NSW,Albury - Wodonga Region,Albury,Glenroy,2640
NSW,Albury - Wodonga Region,Albury,Glenroy,2640
NSW,Albury - Wodonga Region,Albury,Hamilton Valley,2641
NSW,Albury - Wodonga Region,Albury,Lake Hume Village,3691
NSW,Albury - Wodonga Region,Albury,Lavington,2641
NSW,Albury - Wodonga Region,Albury,North Albury,2640
NSW,Albury - Wodonga Region,Albury,South Albury,2640
NSW,Albury - Wodonga Region,Albury,Splitters Creek,2640
NSW,Albury - Wodonga Region,Albury,Springdale Heights,2641
NSW,Albury - Wodonga Region,Albury,Table Top,2640
NSW,Albury - Wodonga Region,Albury,Thurgoona,2640
NSW,Albury - Wodonga Region,Albury,West Albury,2640
NSW,Albury - Wodonga Region,Albury,Wirlinga,2640
NSW,Albury - Wodonga Region,Corowa Shire,Buraja,2646
